created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,"Sentiment (1 serious, 0 joking, -1 unsure)",tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name.1,user_statuses_count,user_time_zone,user_urls,user_verified
Fri Apr 03 08:11:13 +0000 2020,,,,39,1245987206390579200,,,,en,,,15,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",looking at number of corona cases every hour like it's my ex's Instagram,0,https://twitter.com/dumbazness/status/1245987206390579200,Sun Sep 14 17:05:35 +0000 2014,dumbazness,FALSE,nice to not meet you,16118,5580,4898,37,where am I,the misanthrope,dumbazness,9247,,,FALSE
Sun Apr 12 03:13:41 +0000 2020,AsaramBapuAshramsHelpingInLockdown,,,10,1249173819362807809,,,,en,,,10,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Today whole nation is clapping for doctor, police, workers etc who is fighting against Corona But we should also clap for Sant Shri Asharamji Bapu 's Ashrams bcoz #AsaramBapuAshramsHelpingInLockdown . Really incredible. Hates Off",1,https://twitter.com/KRS80748890/status/1249173819362807809,Sat Sep 21 15:31:02 +0000 2019,KRS80748890,FALSE,🙏🏻🙏🏻🙏🏻🙏🏻जय श्री राम🙏🏻🙏🏻🙏🏻🙏🏻,5379,139,468,0,,KRS,KRS80748890,9194,,,FALSE
Mon Mar 23 17:42:15 +0000 2020,COVIDー19,,,1,1242144641727770626,,,,en,"Adeje, Spain",,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#COVIDー19

Please no more DMs for personal disputes, sport or enterprise projects/issues during this time.  

I’m only open for support requests from people in crisis or organisations impacted by or attempting to support Corona related issues, Homeless, vulnerable people/youth.",1,https://twitter.com/George_Lista/status/1242144641727770626,Thu Sep 15 20:45:04 +0000 2011,George_Lista,FALSE,"Multi-Sector Project Consulting - Negotiation/Mediation/Communication - Enterprise, Property, Charity, Sport - Mentor - Coach/Trainer/Scout/Analyst - Dog Rescue",4087,1483,4560,29,Bouncing around the planet 🌍,George Lista 🐾,George_Lista,9808,,http://ma.linkedin.com/in/georgeparolalista/,FALSE
Wed Mar 25 13:52:13 +0000 2020,,,,2,1242811527121514500,,,,en,,,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Haibo is Wits really deploying its medics to go face Corona in hospitals?!!😳😳😳

Surely they must be compensated and insured fully.",1,https://twitter.com/SiboSeale/status/1242811527121514500,Fri Jul 04 19:03:14 +0000 2014,SiboSeale,FALSE,A x2 Wits Graduate| Wits Masters candidate| There's work to be done.,42241,1240,696,4,ER 🏨|| Johannesburg,Sibo Seale,SiboSeale,24601,,,FALSE
Fri Mar 27 17:19:21 +0000 2020,,,,0,1243588429637488640,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sir I request u please care of district ballia because there public is not serious corona matter,1,https://twitter.com/RameswarGupta2/status/1243588429637488640,Sat Feb 01 11:57:24 +0000 2020,RameswarGupta2,FALSE,,0,0,7,0,,Rameswar Gupta,RameswarGupta2,3,,,FALSE
Fri Apr 10 08:13:04 +0000 2020,,,,0,1248524385519984640,rangasumnesh,1.25E+18,417648671,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",We are Thankful to All Corona Warriors 👏👏👏👏,1,https://twitter.com/rangasumnesh/status/1248524385519984640,Mon Nov 21 06:24:35 +0000 2011,rangasumnesh,FALSE,Nothing is Impossible in this World !,100,27,50,0,Bikaner (Rajasthan),SUMANESH RANGA,rangasumnesh,69,,,FALSE
Mon Apr 06 20:05:46 +0000 2020,Dickprintchallenge,,,0,1247254190524715015,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is why corona will no end.  People really think weird stuff hai man Repent. #Dickprintchallenge,0,https://twitter.com/KbmaluxMaluleke/status/1247254190524715015,Mon Feb 15 14:22:21 +0000 2016,KbmaluxMaluleke,FALSE,KAY'BLESS HOUSE OF ARTS,430,60,146,0,"Pretoria, South Africa",Kay'Bless,KbmaluxMaluleke,238,,,FALSE
Wed Apr 01 18:01:18 +0000 2020,,,,1,1245410927937089537,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Corona: 
After effects of CAA and NRC ???",1,https://twitter.com/EXtra_ORrdinary/status/1245410927937089537,Wed Nov 28 17:03:14 +0000 2018,EXtra_ORrdinary,FALSE,,7815,230,127,1,,Sush,EXtra_ORrdinary,9855,,,FALSE
Sat Apr 11 05:35:13 +0000 2020,,,,18,1248847046942978054,,,,en,,,8,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","China is supplying masks infected with corona to world.

India is supplying medicine to fight that infection.",1,https://twitter.com/ReversedRam/status/1248847046942978054,Thu Oct 17 10:49:39 +0000 2019,ReversedRam,FALSE,"follow kiye bina gaye to Sanjukta jaisi bivi ya krk jaisa Pati milega. married, isaliye mere pe buri nazar mat daalna 😾",31115,2244,267,3,"Dehradun, India",VJ Singh 🦁,ReversedRam,24534,,https://www.instagram.com/reversedram/,FALSE
Tue Apr 14 14:36:53 +0000 2020,,,,0,1250070525357035523,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",They def made blacks the damn face of the corona virus,0,https://twitter.com/crowned_ria/status/1250070525357035523,Thu Mar 02 02:17:48 +0000 2017,crowned_ria,FALSE,I’m a Shmoney Goddess 💸📿 Controlling The Energy ✨🔮✨,221,34,134,0,Queens Corner,chεκεrια 💝,crowned_ria,725,,,FALSE
Fri Apr 10 13:11:54 +0000 2020,,,,0,1248599587499081728,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Again, it’s been like a month now, and everyone that has died in that time, has supposedly died from corona.",1,https://twitter.com/BJonezyJones/status/1248599587499081728,Sun Oct 16 16:49:16 +0000 2011,BJonezyJones,FALSE,Non-stop Gem Dropper. @officialseshn IG: AbstractJonezy,1072,106,102,4,San Diego,Bernard Jones,BJonezyJones,7444,,,FALSE
Fri Apr 10 16:56:32 +0000 2020,Indians StayAtHome BeSafe Vadodara india,,,1,1248656121734156289,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Humble Request To All #Indians

.....Plz Plz Plz.....

 #StayAtHome #BeSafe

59 People so far- Corona Cases in #Vadodara

6700 + cases are in #india 

We Must Follow And Support 
Police, Govt. &amp; Doctors (God)

Mithilesh",1,https://twitter.com/angadgifts/status/1248656121734156289,Wed May 22 07:21:56 +0000 2019,angadgifts,FALSE,"Owner of ANGAD PERSONALIZED GIFT SHOP at VADODARA.  Also an Interior Designer.  

Be Silent! Let Your Success shout....!",25,3,51,0,"Vadodara, Gujarat",MITHILESH JANGID,angadgifts,5,,,FALSE
Mon Apr 06 01:59:22 +0000 2020,,,,4,1246980790824529920,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Y’all sure do like being out in public for being so “afraid” of the corona. 🙃,1,https://twitter.com/_fueledbyvodka_/status/1246980790824529920,Mon Sep 06 19:56:29 +0000 2010,_fueledbyvodka_,FALSE,2 years 9 months⋆ $FueledByMoney,1120,376,888,1,,ᶜᵉᵒ ᵒᶠ ˢᵃᵈ ᶠᵉᵉˡˢ,_fueledbyvodka_,8279,,https://cash.app/$FueledByMoney,FALSE
Sat Apr 11 16:28:34 +0000 2020,Corona,,,1,1249011467506024449,,,,en,,,0,,,,,,,,,,,,,,,,,,,,,
Mon Apr 13 06:54:13 +0000 2020,,,,0,1249591705055215616,,,,en,,,1,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Corona got my sleep schedule so jacked up,0,https://twitter.com/JaklaMonique/status/1249591705055215616,Sun Oct 11 19:47:43 +0000 2009,JaklaMonique,FALSE,#TeamDarkSkin #TeamLegal #CollegeGirl ❤ #IFollowBack #MaryKayConsultant,61,258,289,0,"Savannah,Georgia",Kla,JaklaMonique,1476,,http://www.facebook.com/profile.php?id=1115510737,FALSE
Sat Mar 21 14:57:26 +0000 2020,,,,0,1241378391242289154,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",So no strippers came out &amp; said they got corona 🤔 that’s weird,0,https://twitter.com/RichhhT__/status/1241378391242289154,Thu Oct 11 04:40:16 +0000 2018,RichhhT__,FALSE,if you got a man please don’t follow me. Ima block you @richhht_,86,73,67,0,"Queens, NY",Nas the 2nd,RichhhT__,17852,,http://Instagram.com/richht_,FALSE
Wed Mar 25 22:46:12 +0000 2020,,,,1,1242945909169762314,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",fuck the corona virus. i want to see my friends so bad 🥺,1,https://twitter.com/elizabeth4051/status/1242945909169762314,Sun Sep 18 01:40:03 +0000 2016,elizabeth4051,FALSE,what up,7604,36,74,0,,elizabeth ❥,elizabeth4051,2323,,https://vsco.co/elizabethhmartinn,FALSE
Fri Apr 17 14:05:19 +0000 2020,,,,0,1251149748561534976,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","So to all the people protesting about staying in - you know the ones who say they'd rather die of the corona than lose their business, well go die then because I'll be damned if I trade my business or anything I own for my life and never seeing my grandkids again jmo",1,https://twitter.com/teel_kathryn/status/1251149748561534976,Wed Jan 02 15:54:28 +0000 2019,teel_kathryn,FALSE,,19,19,502,0,,KATHRYN TEEL,teel_kathryn,570,,,FALSE
Mon Apr 06 21:17:31 +0000 2020,,,,0,1247272246072053760,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Prime Minister Johnson
Don't lose to Corona!

Hang in there!

God bless you

Amen",1,https://twitter.com/ShinozakiKasumi/status/1247272246072053760,Sun Dec 31 02:10:47 +0000 2017,ShinozakiKasumi,FALSE,色んな所にいたりいなかったりする謎の人物。基本的にCUE!とDIALOGUE＋の宣伝ばかりする変態。アイドル関連に関してはバンド系に移っても忘れられない思い出があってまた戻ってきた。かなりのAqours好きでダイアさんと果南さんに挟まれたいという夢がある変態👈,12825,2440,2327,21,生息地：黄泉の国,篠崎香澄・・・謎の宣伝屋？,ShinozakiKasumi,15816,,https://www.facebook.com/profile.php?id=100049690182477,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Mar 24 10:16:14 +0000 2020,,,,0,1242394786633408517,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Corona Virus  is one kind of multinational companies,like as  marketing.
Multinational companies main work is published in every people. 
But this corona virus is like as silent publishing killer.",1,https://twitter.com/Erfan1hridoy/status/1242394786633408517,Thu Apr 05 04:53:18 +0000 2018,Erfan1hridoy,FALSE,,2,11,129,0,"Chattagram,Bangladesh ",Erfan,Erfan1hridoy,22,,,FALSE
Sat Mar 21 17:49:27 +0000 2020,coronavirus COVID19US,,,1,1241421678598594560,,,,en,,,1,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Imagine going to the doctor's to get tested for the corona virus and it's negative, but then getting the corona virus from the hospital visit. 
#coronavirus #COVID19US",0,https://twitter.com/Xx31757493/status/1241421678598594560,Sat Mar 21 17:47:29 +0000 2020,Xx31757493,FALSE,,8,0,1,0,,Xx,Xx31757493,6,,,FALSE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Apr 07 18:33:21 +0000 2020,,,,5,1247593322186715138,,,,en,,,3,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Imagine having your Period cramps &amp; Corona. That’s wild,0,https://twitter.com/NoAyLuz/status/1247593322186715138,Wed Jan 22 20:18:29 +0000 2020,NoAyLuz,FALSE,I come on here.. I say some shit... and stay around to watch it blow up.,3283,682,505,0,Where Love DIED,Chocolate Frida💡,NoAyLuz,11867,,,FALSE
Thu Mar 26 14:55:07 +0000 2020,,,,1,1243189744114294797,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Hug your HR friends. Corona is NOT sparing us.,0,https://twitter.com/ecbryson/status/1243189744114294797,Thu Jun 02 21:03:41 +0000 2011,ecbryson,FALSE,charlotte bred | @ncstate alumna|,6117,700,1298,7,"Charlotte, NC",Eboni Bryson,ecbryson,11287,,,FALSE
Wed Apr 15 15:52:44 +0000 2020,,,,0,1250452003202969600,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",probs gonna end up having an outfit change mid night out post corona ngl,0,https://twitter.com/luciapelinnn/status/1250452003202969600,Wed Dec 19 19:14:53 +0000 2018,luciapelinnn,FALSE,,37555,206,206,0,,Lucia,luciapelinnn,4201,,https://www.instagram.com/luciapelinn/,FALSE
Thu Apr 02 07:07:50 +0000 2020,,,,0,1245608866454196225,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tik Tok donates medical equipment worth Rs 100 crore to fight corona virus in India. 
"" donation because many lives will be saved 
OR
Investment to protect market share in India ""
Views....",1,https://twitter.com/Ganeshhamber/status/1245608866454196225,Sat Jul 21 18:01:29 +0000 2018,Ganeshhamber,FALSE,just no one struggling to become someone,43,11,82,0,"Rajasthan, India",Ganesh Kumar,Ganeshhamber,14,,,FALSE
Wed Apr 15 12:39:26 +0000 2020,,,,0,1250403359267467264,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I wonder why most bad stuffs is associated with the number 9 🤔🤔

419-fraud 😟 

911-emergency 🚑 

9ja-bad govt

F9-failure 😭 ✍🏽 📖 

Covid-19_ Corona virus 🦠 

9/11-Osama bombed 🇺🇸 

69-you already know 🤪

9te mare-bad dream 👿 

bet 9ja-lose your savings💰 

Add yours 🤦‍♂️🤦‍♂️",0,https://twitter.com/Ukennyrabbi/status/1250403359267467264,Tue Apr 12 15:51:23 +0000 2011,Ukennyrabbi,FALSE,"For more info & bookings: ukennyrabbi@gmail.com  Facebook: ukennyrabbi, YouTube: ukennydarabbi, Snapchat: Ukennyrabbi, Soundcloud: Ukennyrabbi,",31,171,680,9,London,Ukenny,Ukennyrabbi,894,,http://Fanlink.to/eyeadaba,FALSE
Sat Apr 04 15:17:25 +0000 2020,,,,0,1246456849261420546,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Corona virus came to save nature and earth from humans. 😐😐 Facts only.,0,https://twitter.com/With_JJProject/status/1246456849261420546,Tue Nov 19 14:16:48 +0000 2019,With_JJProject,FALSE,"NO ONE IS DOING IT LIKE 
#JAEBEOM
#JINYOUNG
AND
#JJPROJECT",9571,62,817,0,Solo JJP stan. Not OT7 stan🚫,.ㅍㅅㅍ˙˙,With_JJProject,6574,,https://open.spotify.com/album/7Hsohl8K1M7Gb8OFCIxB1R?si=js6tk4r3SNWIAb-V2aQYkQ,FALSE
Thu Apr 16 20:12:27 +0000 2020,,,,0,1250879751218233344,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ever since trump gave money to folks eb been out and and about like this corona shit never happened 😂😂!,0,https://twitter.com/rhythadoll/status/1250879751218233344,Wed Jul 03 20:16:42 +0000 2019,rhythadoll,FALSE,,310,18,82,0,,RHYAAAAN!,rhythadoll,264,,,FALSE
Sun Apr 12 04:55:31 +0000 2020,,,,0,1249199444337266689,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Me and momma duke out to AC for my 21st....AS LONG AS THIS CORONA SHIT IS CLEAR. I swear if my 21st is cancelled cause of this shit imma beat someone’s ass,1,https://twitter.com/itsfiaaaaa_/status/1249199444337266689,Mon Mar 10 19:08:11 +0000 2014,itsfiaaaaa_,FALSE,🔮🕷🦋ANALYTICAL MIND,4681,266,305,1,,AlmightySo,itsfiaaaaa_,8873,,,FALSE
Sat Mar 21 13:41:43 +0000 2020,JantaCurfewMarch22 ShaheenAboveJantaCurfew,,,2,1241359334199537664,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bill Gates announced $ 100 million (Rs 751 crore) to deal with the Corona epidemic.

Did Ambani, Adani or Baba Ramdev announce anything? no

Do these rich people have no duty towards their country and the citizens of the country?
#JantaCurfewMarch22 
#ShaheenAboveJantaCurfew",1,https://twitter.com/amustudents_/status/1241359334199537664,Fri Jan 17 17:30:40 +0000 2020,amustudents_,FALSE,"student of Aligarh Muslim University❤️
against CAA_NRC_NPR ❌
Indian 🇮🇳
muslim ☪️
to be a entrepreneur😎",5115,303,800,0,,mujahid khan,amustudents_,1824,,,FALSE
Fri Mar 20 00:39:24 +0000 2020,,,,0,1240800070439591936,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Let's pray for our nation,,,,,, God is greater than all. Stop corona",1,https://twitter.com/KMbughu/status/1240800070439591936,Thu Aug 08 08:12:10 +0000 2019,KMbughu,FALSE,,2,4,27,0,,Kostinatus Mbughu,KMbughu,3,,,FALSE
Fri Apr 17 06:45:14 +0000 2020,,,,0,1251038996672765959,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ALL THIS FAKE PROPHETS THAT PREDICTED APRIL 16 AS END OF THE WORLD HOW FAR? UNA NO SEE CORONA VIRUS NA END OF THE WORLD UNA WAN PREDICT 😣 AFTER COVID-19 THEY WILL COME OUT AGAIN.,1,https://twitter.com/El_cherino/status/1251038996672765959,Wed Feb 05 06:58:35 +0000 2020,El_cherino,FALSE,IGALA MAN- GGMU- #TeamYBNL #TeamBurnaBoy #KOGI #TeamWizKid #TeamLeo #ManchesterUnited I Rep Ma Hood. Branded by the Brother Hood.,,,,,,,,,,,
Wed Mar 25 15:57:43 +0000 2020,,,,0,1242843113745416193,,,,en,,,0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Did y'all forget that Rapunzel had a whole song abt what to do while self isolated and her kingdom is called corona,0,https://twitter.com/shrekprincess2/status/1242843113745416193,Tue Mar 24 22:17:17 +0000 2020,shrekprincess2,FALSE,"I have a youtube channel, called Shrek princess with 0 subs and i ship lizzie and joel",16,0,18,0,,shrek princess,shrekprincess2,21,,,FALSE
Fri Apr 17 03:51:07 +0000 2020,,,,0,1250995180150218754,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Already in bed like a gramps..but tom ill wake up with the fountain of youth and drink after work. Man its been so long. Goodnight earth, fvxk u corona virus, no goodnight for u.",0,https://twitter.com/itsmephil07/status/1250995180150218754,Sun Aug 16 07:01:37 +0000 2009,itsmephil07,FALSE,MSN NP-C...Cardiac Medicine..Big fan of overwatch..traveling.. fitness..and food.,1875,101,102,5,Starling City,OliverQueen07,itsmephil07,3335,,http://twitch.tv/OliverQueen07,FALSE
Thu Apr 02 07:35:32 +0000 2020,,,,0,1245615837966299139,,,,en,,,1,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Okay i just did a thing.... so 1 the stream will not be happening on Mixer it shall be happening over at Twitch, 2 i shall be doing Twitch Sings (Anyone is welcome to join in!) and 3 i ordered myself a carton of corona.... and a bottle of Jim beam :D",0,https://twitter.com/MrDJSilva/status/1245615837966299139,Sat May 26 16:23:33 +0000 2012,MrDJSilva,FALSE,"YouTuber, Twitch & Mixer Streamer | YouTube: https://t.co/X7cpyOnEnJ | Twitch: https://t.co/xGNSE6IjI7 | Discord: https://t.co/xStjZko4pt | Join The Forums: https://t.co/kN186gqSTw",1125,500,1269,15,"Perth, Australia",MrDJSilva,MrDJSilva,4628,,https://mrdjsilva.com,FALSE
Fri Apr 10 10:53:32 +0000 2020,,,,0,1248564765984731136,,,,en,,,0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","This Corona shit really ain’t paying for college, i need to make an onlyfans",0,https://twitter.com/joshhuels_/status/1248564765984731136,Sun Jan 12 21:42:12 +0000 2014,joshhuels_,FALSE,miserable but ugly,10849,106,162,10,,Jxsh,joshhuels_,11717,,https://www.instagram.com/joshhuels/,FALSE
Sat Mar 28 02:04:58 +0000 2020,,,,1,1243720706292101120,,,,en,,,3,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","i need my hair, nails &amp; toes done .. corona pls leave us alone",0,https://twitter.com/TASHIAARIANE/status/1243720706292101120,Sat Aug 20 22:52:39 +0000 2016,TASHIAARIANE,FALSE,,2688,438,365,0,,tashia 💗,TASHIAARIANE,3249,,,FALSE
Sun Mar 22 05:36:11 +0000 2020,,,,0,1241599535765307393,,,,en,,,0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Just got off the phone with Joe Pesci and Robert De Niro. Don't worry, the Corona Virus will be taken care of.",0,https://twitter.com/myself_rishi/status/1241599535765307393,Fri May 06 11:05:52 +0000 2011,myself_rishi,FALSE,,126,22,29,1,INDIA,rishi singh,myself_rishi,30778,,,FALSE
