,Unnamed: 0,coordinates,created_at,hashtags,media,urls,favorite_count,id,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,reweet_id,retweet_screen_name,source,text,tweet_url,user_created_at,user_screen_name,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_screen_name.1,user_statuses_count,user_time_zone,user_urls,user_verified
137321,1758986,,Fri Apr 03 08:11:13 +0000 2020,,,,39,1245987206390579200,,,,en,,,15.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",looking at number of corona cases every hour like it's my ex's Instagram,https://twitter.com/dumbazness/status/1245987206390579200,Sun Sep 14 17:05:35 +0000 2014,dumbazness,False,nice to not meet you,16118.0,5580.0,4898.0,37.0,where am I,the misanthrope,dumbazness,9247.0,,,False
223744,2973994,,Sun Apr 12 03:13:41 +0000 2020,AsaramBapuAshramsHelpingInLockdown,,,10,1249173819362807809,,,,en,,,10.0,,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Today whole nation is clapping for doctor, police, workers etc who is fighting against Corona But we should also clap for Sant Shri Asharamji Bapu 's Ashrams bcoz #AsaramBapuAshramsHelpingInLockdown . Really incredible. Hates Off",https://twitter.com/KRS80748890/status/1249173819362807809,Sat Sep 21 15:31:02 +0000 2019,KRS80748890,False,🙏🏻🙏🏻🙏🏻🙏🏻जय श्री राम🙏🏻🙏🏻🙏🏻🙏🏻,5379.0,139.0,468.0,0.0,,KRS,KRS80748890,9194.0,,,False
42769,718811,,Mon Mar 23 17:42:15 +0000 2020,COVIDー19,,,1,1242144641727770626,,,,en,"Adeje, Spain",,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","#COVIDー19

Please no more DMs for personal disputes, sport or enterprise projects/issues during this time.  

I’m only open for support requests from people in crisis or organisations impacted by or attempting to support Corona related issues, Homeless, vulnerable people/youth.",https://twitter.com/George_Lista/status/1242144641727770626,Thu Sep 15 20:45:04 +0000 2011,George_Lista,False,"Multi-Sector Project Consulting - Negotiation/Mediation/Communication - Enterprise, Property, Charity, Sport - Mentor - Coach/Trainer/Scout/Analyst - Dog Rescue",4087.0,1483.0,4560.0,29.0,Bouncing around the planet 🌍,George Lista 🐾,George_Lista,9808.0,,http://ma.linkedin.com/in/georgeparolalista/,False
56487,934333,,Wed Mar 25 13:52:13 +0000 2020,,,,2,1242811527121514500,,,,en,,,1.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Haibo is Wits really deploying its medics to go face Corona in hospitals?!!😳😳😳

Surely they must be compensated and insured fully.",https://twitter.com/SiboSeale/status/1242811527121514500,Fri Jul 04 19:03:14 +0000 2014,SiboSeale,False,A x2 Wits Graduate| Wits Masters candidate| There's work to be done.,42241.0,1240.0,696.0,4.0,ER 🏨|| Johannesburg,Sibo Seale,SiboSeale,24601.0,,,False
81650,1274734,,Fri Mar 27 17:19:21 +0000 2020,,,,0,1243588429637488640,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sir I request u please care of district ballia because there public is not serious corona matter,https://twitter.com/RameswarGupta2/status/1243588429637488640,Sat Feb 01 11:57:24 +0000 2020,RameswarGupta2,False,,0.0,0.0,7.0,0.0,,Rameswar Gupta,RameswarGupta2,3.0,,,False
221239,2935707,,Fri Apr 10 08:13:04 +0000 2020,,,,0,1248524385519984640,rangasumnesh,1.2485223399203676e+18,417648671.0,en,,,0.0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",We are Thankful to All Corona Warriors 👏👏👏👏,https://twitter.com/rangasumnesh/status/1248524385519984640,Mon Nov 21 06:24:35 +0000 2011,rangasumnesh,False,Nothing is Impossible in this World !,100.0,27.0,50.0,0.0,Bikaner (Rajasthan),SUMANESH RANGA,rangasumnesh,69.0,,,False
183747,2401653,,Mon Apr 06 20:05:46 +0000 2020,Dickprintchallenge,,,0,1247254190524715015,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",This is why corona will no end.  People really think weird stuff hai man Repent. #Dickprintchallenge,https://twitter.com/KbmaluxMaluleke/status/1247254190524715015,Mon Feb 15 14:22:21 +0000 2016,KbmaluxMaluleke,False,KAY'BLESS HOUSE OF ARTS,430.0,60.0,146.0,0.0,"Pretoria, South Africa",Kay'Bless,KbmaluxMaluleke,238.0,,,False
135006,1729131,,Wed Apr 01 18:01:18 +0000 2020,,,,1,1245410927937089537,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Corona: 
After effects of CAA and NRC ???",https://twitter.com/EXtra_ORrdinary/status/1245410927937089537,Wed Nov 28 17:03:14 +0000 2018,EXtra_ORrdinary,False,,7815.0,230.0,127.0,1.0,,Sush,EXtra_ORrdinary,9855.0,,,False
224988,2991592,,Sat Apr 11 05:35:13 +0000 2020,,,,18,1248847046942978054,,,,en,,,8.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","China is supplying masks infected with corona to world.

India is supplying medicine to fight that infection.",https://twitter.com/ReversedRam/status/1248847046942978054,Thu Oct 17 10:49:39 +0000 2019,ReversedRam,False,"follow kiye bina gaye to Sanjukta jaisi bivi ya krk jaisa Pati milega. married, isaliye mere pe buri nazar mat daalna 😾",31115.0,2244.0,267.0,3.0,"Dehradun, India",VJ Singh 🦁,ReversedRam,24534.0,,https://www.instagram.com/reversedram/,False
255564,3438897,,Tue Apr 14 14:36:53 +0000 2020,,,,0,1250070525357035523,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",They def made blacks the damn face of the corona virus,https://twitter.com/crowned_ria/status/1250070525357035523,Thu Mar 02 02:17:48 +0000 2017,crowned_ria,False,I’m a Shmoney Goddess 💸📿 Controlling The Energy ✨🔮✨,221.0,34.0,134.0,0.0,Queens Corner,chεκεrια 💝,crowned_ria,725.0,,,False
220439,2923405,,Fri Apr 10 13:11:54 +0000 2020,,,,0,1248599587499081728,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Again, it’s been like a month now, and everyone that has died in that time, has supposedly died from corona.",https://twitter.com/BJonezyJones/status/1248599587499081728,Sun Oct 16 16:49:16 +0000 2011,BJonezyJones,False,Non-stop Gem Dropper. @officialseshn IG: AbstractJonezy,1072.0,106.0,102.0,4.0,San Diego,Bernard Jones,BJonezyJones,7444.0,,,False
222432,2953577,,Fri Apr 10 16:56:32 +0000 2020,Indians StayAtHome BeSafe Vadodara india,,,1,1248656121734156289,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Humble Request To All #Indians

.....Plz Plz Plz.....

 #StayAtHome #BeSafe

59 People so far- Corona Cases in #Vadodara

6700 + cases are in #india 

We Must Follow And Support 
Police, Govt. &amp; Doctors (God)

Mithilesh",https://twitter.com/angadgifts/status/1248656121734156289,Wed May 22 07:21:56 +0000 2019,angadgifts,False,"Owner of ANGAD PERSONALIZED GIFT SHOP at VADODARA.  Also an Interior Designer.  

Be Silent! Let Your Success shout....!",25.0,3.0,51.0,0.0,"Vadodara, Gujarat",MITHILESH JANGID,angadgifts,5.0,,,False
172451,2228851,,Mon Apr 06 01:59:22 +0000 2020,,,,4,1246980790824529920,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Y’all sure do like being out in public for being so “afraid” of the corona. 🙃,https://twitter.com/_fueledbyvodka_/status/1246980790824529920,Mon Sep 06 19:56:29 +0000 2010,_fueledbyvodka_,False,2 years 9 months⋆ $FueledByMoney,1120.0,376.0,888.0,1.0,,ᶜᵉᵒ ᵒᶠ ˢᵃᵈ ᶠᵉᵉˡˢ,_fueledbyvodka_,8279.0,,https://cash.app/$FueledByMoney,False
225494,2998539,,Sat Apr 11 16:28:34 +0000 2020,Corona,,,1,1249011467506024449,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","🇵🇰 Boy's now a days :
Ludo khelainge? 😂
#Corona",https://twitter.com/Sardarspeaks/status/1249011467506024449,Tue Jul 09 08:55:05 +0000 2019,Sardarspeaks,False,"Death before disgrace⚔️
PTI👌
Ieader Imran khan❤
19yo👍
Patriot🇵🇰",1406.0,265.0,447.0,0.0,Abbottabad,Sardar Adnan,Sardarspeaks,1379.0,,,False
244245,3268547,,Mon Apr 13 06:54:13 +0000 2020,,,,0,1249591705055215616,,,,en,,,1.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Corona got my sleep schedule so jacked up,https://twitter.com/JaklaMonique/status/1249591705055215616,Sun Oct 11 19:47:43 +0000 2009,JaklaMonique,False,#TeamDarkSkin #TeamLegal #CollegeGirl ❤ #IFollowBack #MaryKayConsultant,61.0,258.0,289.0,0.0,"Savannah,Georgia",'Kla,JaklaMonique,1476.0,,http://www.facebook.com/profile.php?id=1115510737,False
27945,475537,,Sat Mar 21 14:57:26 +0000 2020,,,,0,1241378391242289154,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",So no strippers came out &amp; said they got corona 🤔 that’s weird,https://twitter.com/RichhhT__/status/1241378391242289154,Thu Oct 11 04:40:16 +0000 2018,RichhhT__,False,if you got a man please don’t follow me. Ima block you @richhht_,86.0,73.0,67.0,0.0,"Queens, NY",Nas the 2nd,RichhhT__,17852.0,,http://Instagram.com/richht_,False
57435,947779,,Wed Mar 25 22:46:12 +0000 2020,,,,1,1242945909169762314,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",fuck the corona virus. i want to see my friends so bad 🥺,https://twitter.com/elizabeth4051/status/1242945909169762314,Sun Sep 18 01:40:03 +0000 2016,elizabeth4051,False,what up,7604.0,36.0,74.0,0.0,,elizabeth ❥,elizabeth4051,2323.0,,https://vsco.co/elizabethhmartinn,False
296343,3930868,,Fri Apr 17 14:05:19 +0000 2020,,,,0,1251149748561534976,,,,en,,,0.0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","So to all the people protesting about staying in - you know the ones who say they'd rather die of the corona than lose their business, well go die then because I'll be damned if I trade my business or anything I own for my life and never seeing my grandkids again jmo",https://twitter.com/teel_kathryn/status/1251149748561534976,Wed Jan 02 15:54:28 +0000 2019,teel_kathryn,False,,19.0,19.0,502.0,0.0,,KATHRYN TEEL,teel_kathryn,570.0,,,False
178311,2318696,,Mon Apr 06 21:17:31 +0000 2020,,,,0,1247272246072053760,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Prime Minister Johnson
Don't lose to Corona!

Hang in there!

God bless you

Amen",https://twitter.com/ShinozakiKasumi/status/1247272246072053760,Sun Dec 31 02:10:47 +0000 2017,ShinozakiKasumi,False,色んな所にいたりいなかったりする謎の人物。基本的にCUE!とDIALOGUE＋の宣伝ばかりする変態。アイドル関連に関してはバンド系に移っても忘れられない思い出があってまた戻ってきた。かなりのAqours好きでダイアさんと果南さんに挟まれたいという夢がある変態👈,12825.0,2440.0,2327.0,21.0,生息地：黄泉の国,篠崎香澄・・・謎の宣伝屋？,ShinozakiKasumi,15816.0,,https://www.facebook.com/profile.php?id=100049690182477,False
102325,1575162,,Tue Mar 31 07:53:59 +0000 2020,,,,0,1244895704801103878,,,,en,,,0.0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Western media wanted to see bloodbath in India during trump visit
Muzzies - Ye lo danga.

Western Media wanted 'millions of millions' covid cases in India
Muzzies- Ye lo corona.

Fir royenge ki ye desh mere abbu ka bhi hai..",https://twitter.com/iMeghh/status/1244895704801103878,Sat Dec 28 02:49:07 +0000 2019,iMeghh,False,Current Focus- #COVIDINDIA #IndiaFightsCoronaVirus,169.0,79.0,225.0,0.0,"Abu Dhabi, United Arab Emirates",Megha Singh,iMeghh,4379.0,,,False
53795,892473,,Tue Mar 24 10:16:14 +0000 2020,,,,0,1242394786633408517,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Corona Virus  is one kind of multinational companies,like as  marketing.
Multinational companies main work is published in every people. 
But this corona virus is like as silent publishing killer.",https://twitter.com/Erfan1hridoy/status/1242394786633408517,Thu Apr 05 04:53:18 +0000 2018,Erfan1hridoy,False,,2.0,11.0,129.0,0.0,"Chattagram,Bangladesh ",Erfan,Erfan1hridoy,22.0,,,False
22846,399237,,Sat Mar 21 17:49:27 +0000 2020,coronavirus COVID19US,,,1,1241421678598594560,,,,en,,,1.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Imagine going to the doctor's to get tested for the corona virus and it's negative, but then getting the corona virus from the hospital visit. 
#coronavirus #COVID19US",https://twitter.com/Xx31757493/status/1241421678598594560,Sat Mar 21 17:47:29 +0000 2020,Xx31757493,False,,8.0,0.0,1.0,0.0,,Xx,Xx31757493,6.0,,,False
130181,1677677,,Wed Apr 01 11:28:51 +0000 2020,,,,1,1245312165998886915,,,,en,,,1.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thanks to Nizamuddin coz finally Bhakts have found a color for the Corona Virus.Btw let me clear it's not a Corona virus it's a Corona Jihad.,https://twitter.com/EjazHassankhan/status/1245312165998886915,Tue Oct 11 18:52:09 +0000 2011,EjazHassankhan,False,MEDIA PROFESSIONAL,,,,,,,,,,,
192313,2515955,,Tue Apr 07 18:33:21 +0000 2020,,,,5,1247593322186715138,,,,en,,,3.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Imagine having your Period cramps &amp; Corona. That’s wild,https://twitter.com/NoAyLuz/status/1247593322186715138,Wed Jan 22 20:18:29 +0000 2020,NoAyLuz,False,I come on here.. I say some shit... and stay around to watch it blow up.,3283.0,682.0,505.0,0.0,Where Love DIED,Chocolate Frida💡,NoAyLuz,11867.0,,,False
65999,1068621,,Thu Mar 26 14:55:07 +0000 2020,,,,1,1243189744114294797,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Hug your HR friends. Corona is NOT sparing us.,https://twitter.com/ecbryson/status/1243189744114294797,Thu Jun 02 21:03:41 +0000 2011,ecbryson,False,charlotte bred | @ncstate alumna|,6117.0,700.0,1298.0,7.0,"Charlotte, NC",Eboni Bryson,ecbryson,11287.0,,,False
262663,3540026,,Wed Apr 15 15:52:44 +0000 2020,,,,0,1250452003202969600,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",probs gonna end up having an outfit change mid night out post corona ngl,https://twitter.com/luciapelinnn/status/1250452003202969600,Wed Dec 19 19:14:53 +0000 2018,luciapelinnn,False,,37555.0,206.0,206.0,0.0,,Lucia,luciapelinnn,4201.0,,https://www.instagram.com/luciapelinn/,False
145301,1857986,,Thu Apr 02 07:07:50 +0000 2020,,,,0,1245608866454196225,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Tik Tok donates medical equipment worth Rs 100 crore to fight corona virus in India. 
"" donation because many lives will be saved 
OR
Investment to protect market share in India ""
Views....",https://twitter.com/Ganeshhamber/status/1245608866454196225,Sat Jul 21 18:01:29 +0000 2018,Ganeshhamber,False,just no one struggling to become someone,43.0,11.0,82.0,0.0,"Rajasthan, India",Ganesh Kumar,Ganeshhamber,14.0,,,False
265088,3575608,,Wed Apr 15 12:39:26 +0000 2020,,,,0,1250403359267467264,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","I wonder why most bad stuffs is associated with the number 9 🤔🤔

419-fraud 😟 

911-emergency 🚑 

9ja-bad govt

F9-failure 😭 ✍🏽 📖 

Covid-19_ Corona virus 🦠 

9/11-Osama bombed 🇺🇸 

69-you already know 🤪

9te mare-bad dream 👿 

bet 9ja-lose your savings💰 

Add yours 🤦‍♂️🤦‍♂️",https://twitter.com/Ukennyrabbi/status/1250403359267467264,Tue Apr 12 15:51:23 +0000 2011,Ukennyrabbi,False,"For more info & bookings: ukennyrabbi@gmail.com  Facebook: ukennyrabbi, YouTube: ukennydarabbi, Snapchat: Ukennyrabbi, Soundcloud: Ukennyrabbi,",31.0,171.0,680.0,9.0,London,Ukenny,Ukennyrabbi,894.0,,http://Fanlink.to/eyeadaba,False
160602,2058681,,Sat Apr 04 15:17:25 +0000 2020,,,,0,1246456849261420546,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Corona virus came to save nature and earth from humans. 😐😐 Facts only.,https://twitter.com/With_JJProject/status/1246456849261420546,Tue Nov 19 14:16:48 +0000 2019,With_JJProject,False,"NO ONE IS DOING IT LIKE 
#JAEBEOM
#JINYOUNG
AND
#JJPROJECT",9571.0,62.0,817.0,0.0,Solo JJP stan. Not OT7 stan🚫,.ㅍㅅㅍ˙˙,With_JJProject,6574.0,,https://open.spotify.com/album/7Hsohl8K1M7Gb8OFCIxB1R?si=js6tk4r3SNWIAb-V2aQYkQ,False
277024,3741932,,Thu Apr 16 20:12:27 +0000 2020,,,,0,1250879751218233344,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ever since trump gave money to folks eb been out and and about like this corona shit never happened 😂😂!,https://twitter.com/rhythadoll/status/1250879751218233344,Wed Jul 03 20:16:42 +0000 2019,rhythadoll,False,,310.0,18.0,82.0,0.0,,RHYAAAAN!,rhythadoll,264.0,,,False
228956,3048453,,Sun Apr 12 04:55:31 +0000 2020,,,,0,1249199444337266689,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Me and momma duke out to AC for my 21st....AS LONG AS THIS CORONA SHIT IS CLEAR. I swear if my 21st is cancelled cause of this shit imma beat someone’s ass,https://twitter.com/itsfiaaaaa_/status/1249199444337266689,Mon Mar 10 19:08:11 +0000 2014,itsfiaaaaa_,False,🔮🕷🦋ANALYTICAL MIND,4681.0,266.0,305.0,1.0,,AlmightySo,itsfiaaaaa_,8873.0,,,False
23004,401709,,Sat Mar 21 13:41:43 +0000 2020,JantaCurfewMarch22 ShaheenAboveJantaCurfew,,,2,1241359334199537664,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bill Gates announced $ 100 million (Rs 751 crore) to deal with the Corona epidemic.

Did Ambani, Adani or Baba Ramdev announce anything? no

Do these rich people have no duty towards their country and the citizens of the country?
#JantaCurfewMarch22 
#ShaheenAboveJantaCurfew",https://twitter.com/amustudents_/status/1241359334199537664,Fri Jan 17 17:30:40 +0000 2020,amustudents_,False,"student of Aligarh Muslim University❤️
against CAA_NRC_NPR ❌
Indian 🇮🇳
muslim ☪️
to be a entrepreneur😎",5115.0,303.0,800.0,0.0,,mujahid khan,amustudents_,1824.0,,,False
6423,126041,,Fri Mar 20 00:39:24 +0000 2020,,,,0,1240800070439591936,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Let's pray for our nation,,,,,, God is greater than all. Stop corona",https://twitter.com/KMbughu/status/1240800070439591936,Thu Aug 08 08:12:10 +0000 2019,KMbughu,False,,2.0,4.0,27.0,0.0,,Kostinatus Mbughu,KMbughu,3.0,,,False
291628,3911964,,Fri Apr 17 06:45:14 +0000 2020,,,,0,1251038996672765959,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ALL THIS FAKE PROPHETS THAT PREDICTED APRIL 16 AS END OF THE WORLD HOW FAR? UNA NO SEE CORONA VIRUS NA END OF THE WORLD UNA WAN PREDICT 😣 AFTER COVID-19 THEY WILL COME OUT AGAIN.,https://twitter.com/El_cherino/status/1251038996672765959,Wed Feb 05 06:58:35 +0000 2020,El_cherino,False,IGALA MAN- GGMU- #TeamYBNL #TeamBurnaBoy #KOGI #TeamWizKid #TeamLeo #ManchesterUnited I Rep Ma Hood. Branded by the Brother Hood.,,,,,,,,,,,
65063,1055770,,Wed Mar 25 15:57:43 +0000 2020,,,,0,1242843113745416193,,,,en,,,0.0,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Did y'all forget that Rapunzel had a whole song abt what to do while self isolated and her kingdom is called corona,https://twitter.com/shrekprincess2/status/1242843113745416193,Tue Mar 24 22:17:17 +0000 2020,shrekprincess2,False,"I have a youtube channel, called Shrek princess with 0 subs and i ship lizzie and joel",16.0,0.0,18.0,0.0,,shrek princess,shrekprincess2,21.0,,,False
274887,3712762,,Fri Apr 17 03:51:07 +0000 2020,,,,0,1250995180150218754,,,,en,,,0.0,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Already in bed like a gramps..but tom ill wake up with the fountain of youth and drink after work. Man its been so long. Goodnight earth, fvxk u corona virus, no goodnight for u.",https://twitter.com/itsmephil07/status/1250995180150218754,Sun Aug 16 07:01:37 +0000 2009,itsmephil07,False,MSN NP-C...Cardiac Medicine..Big fan of overwatch..traveling.. fitness..and food.,1875.0,101.0,102.0,5.0,Starling City,OliverQueen07,itsmephil07,3335.0,,http://twitch.tv/OliverQueen07,False
